episode_scores,episode_durations,max_waves,avg_rewards,total_rewards,epsilon_values,loss_values,q_values,enemies_destroyed,generation_number
0,11.160719394683838,1,-0.057824197031659766,6497.214826668386,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
200,14.626780986785889,1,-0.35343948681051274,5550.518364641501,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
300,14.015142917633057,1,-0.041741146547697325,5939.5716658891715,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
1100,19.84430432319641,1,-0.00775133359590141,6651.841605275153,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
200,18.286767959594727,1,-0.06997503236298769,7044.9380348148725,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
0,15.8072509765625,1,-0.028496887733043395,7542.95756107677,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
0,15.96388554573059,1,-0.045894883386979425,7969.352169918019,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
0,13.59565019607544,1,-0.04337809977437716,8344.904201977064,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
0,13.373311996459961,1,-0.04766638608317056,8701.202461056297,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
0,12.86860966682434,1,-0.040800217490723045,9062.789278150003,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
0,15.21040964126587,1,-0.03940226646046111,9495.821445548683,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
0,14.562969446182251,1,-0.08648950042608759,9732.390597396961,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
0,13.231557607650757,1,-0.06750022302216008,9997.871130229269,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
0,19.791544914245605,1,-0.08559492868316376,10313.319044673699,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
300,19.340930700302124,1,-0.10995954228580375,10314.037292344214,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
100,15.99539852142334,1,-0.04822703367034269,10735.960375584138,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
300,13.079204797744751,1,-0.03853830951685547,11110.479541081882,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
0,17.056859731674194,1,-0.019798263778095248,11675.415586866775,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
200,14.516931295394897,1,-0.04494310115120356,12073.691740796641,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
200,10.918027400970459,1,-0.026131520130562174,12420.194151684067,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
300,14.140996932983398,1,-0.03867868825522616,12808.197646052096,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
0,14.362671852111816,1,-0.07343964289200962,13105.731272478939,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
400,12.907025337219238,1,-0.028850000508583343,13507.287744130372,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
0,12.018616199493408,1,-0.06105891133978795,13793.179524929481,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
200,17.360086679458618,1,-0.0435103356748951,14274.401983571235,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
100,21.57645606994629,1,-0.029288145679930763,14897.656010592416,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
0,12.506030797958374,1,-0.07757178748366082,14937.005296076948,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
100,15.688167333602905,1,-0.1967513478227598,14556.818797207186,0.04999916370086185,0.005469998344779015,3.8032572269439697,0,0
